,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_kiln_long,closest_kiln_lat,dist
0,"27.72,80.91",0,fcbk,27.71603717674486,80.90531702098843,uttar_pradesh,24318138.10672,14086817.724279637,0.0744472,0.0603585,24318096.416288,14086783.923519636,24318179.797152,14086851.525039636,81.824288,943.44068,165.20515200000003,1011.0422,27.719278210282425,80.90830677165984,0.4646752235734381
1,"27.72,80.91",1,fcbk,27.719278210282425,80.90830677165984,uttar_pradesh,24318416.77168,14086476.480439637,0.0673728,0.0572505,24318379.042912003,14086444.420159636,24318454.500448,14086508.540719638,364.450912,603.93732,439.908448,668.0578800000001,27.71603717674486,80.90531702098843,0.4646752235734381
2,"26.13,82.79",0,zigzag,26.131489365699505,82.79302969284058,uttar_pradesh,24494085.680284444,14252470.562948152,0.0485857,0.0713151,24494058.47229245,14252430.626492152,24494112.888276443,14252510.499404153,815.179848,365.440824,869.5958320000001,445.313736,26.146404822437557,82.80635884590149,2.1230539951863214
3,"25.77,81.85",0,fcbk,25.773598806531293,81.84866895484924,uttar_pradesh,24406064.879822224,14289569.650552263,0.0272216,0.0728642,24406049.635726225,14289528.846600266,24406080.123918224,14289610.454504265,420.6935040000001,146.713168,451.181696,228.321072,25.78525650204826,81.84480203647614,1.348479199649276
4,"25.96,81.65",0,fcbk,25.955312785771888,81.64665642948151,uttar_pradesh,24387235.947751112,14270747.197893968,0.0659111,0.0436907,24387199.037535112,14270722.731101967,24387272.857967112,14270771.664685968,211.446424,1021.431768,285.266856,1070.365352,25.960078857278354,81.63063943519593,1.6888253101545705
5,"29.63,78.17",0,zigzag,29.62681136272773,78.17399774971005,uttar_pradesh,24063560.699057776,13883816.602469811,0.0560444,0.0817871,24063529.314193778,13883770.801693812,24063592.08392177,13883862.40324581,901.232416,856.106104,964.002144,947.7076560000002,29.625563085808317,78.17124307384488,0.3005267488290197
6,"29.63,78.17",1,zigzag,29.625563085808317,78.17124307384488,uttar_pradesh,24063303.944657777,13883950.44806981,0.073225,0.0677861,24063262.938657776,13883912.48785381,24063344.950657777,13883988.408285812,634.8568799999999,997.792264,716.8688800000001,1073.712696,29.62681136272773,78.17399774971005,0.3005267488290197
7,"26.02,84.12",0,zigzag,26.01647539172456,84.12576484222411,uttar_pradesh,24618305.599573333,14264405.27316944,0.0400386,0.0373073,24618283.177957334,14264384.38108144,24618328.02118933,14264426.16525744,1074.900624,904.673672,1119.7438559999998,946.457848,26.01646258451251,84.12598346881867,0.021931289181474963
8,"27.09,80.18",0,zigzag,27.086712579781704,80.17505549470899,uttar_pradesh,24250072.799148444,14152888.31488526,0.0750868,0.0569665,24250030.750540443,14152856.41364526,24250114.847756445,14152920.21612526,57.09009600000001,872.2613200000001,141.18731200000002,936.0638,27.069109741255453,80.19714676647186,2.9335164542461545
9,"27.96,80.75",0,zigzag,27.95619998591709,80.74848231773382,uttar_pradesh,24303520.05287112,14061503.740282215,0.0643207,0.0632686,24303484.03327912,14061468.309866216,24303556.072463118,14061539.170698214,382.522168,925.555344,454.561352,996.416176,27.938090214961296,80.74028066463467,2.1631211800557093
10,"25.41,82.23",0,fcbk,25.41058137394545,82.23162998657227,uttar_pradesh,24441759.435093336,14327086.064182715,0.0840652,0.0461867,24441712.35858133,14327060.199630717,24441806.511605337,14327111.928734718,664.849248,474.143768,759.002272,525.872872,25.41145619730609,82.23637832431791,0.48746869708370694
